Liczba punktow,Liczba watkow,Przyblizenie liczby PI,Czas wykonania (sekundy)
1000000000,1,3.14159,3.62952
1000000000,2,3.14159,1.82126
1000000000,3,3.14159,1.20942
1000000000,4,3.14159,0.932252
1000000000,5,3.14159,0.733576
1000000000,6,3.14159,0.625473
1000000000,7,3.14159,0.553168
1000000000,8,3.14159,0.516191
1000000000,9,3.14159,0.538122
1000000000,10,3.14159,0.492331
1000000000,11,3.14159,0.453804
1000000000,12,3.14159,0.435702
1000000000,13,3.14159,0.41168
1000000000,14,3.14159,0.393009
1000000000,15,3.14159,0.370779
1000000000,16,3.14159,0.380729
1000000000,17,3.14159,0.393142
1000000000,18,3.14159,0.394876
1000000000,19,3.14159,0.39534
1000000000,20,3.14159,0.375602
1000000000,21,3.14159,0.385592
1000000000,22,3.14159,0.370759
1000000000,23,3.14159,0.397367
1000000000,24,3.14159,0.406975
1000000000,25,3.14159,0.424982
1000000000,26,3.14159,0.41553
1000000000,27,3.14159,0.411136
1000000000,28,3.14159,0.427374
1000000000,29,3.14159,0.410402
1000000000,30,3.14159,0.398853
1000000000,31,3.14159,0.394025
1000000000,32,3.14159,0.405039
1000000000,33,3.14159,0.38874
1000000000,34,3.14159,0.385904
1000000000,35,3.14159,0.374089
1000000000,36,3.14159,0.393758
1000000000,37,3.14159,0.392847
1000000000,38,3.14159,0.381933
1000000000,39,3.14159,0.365215
1000000000,40,3.14159,0.388795
1000000000,41,3.14159,0.38153
1000000000,42,3.14159,0.390349
1000000000,43,3.14159,0.383079
1000000000,44,3.14159,0.393146
1000000000,45,3.14159,0.383232
1000000000,47,3.14159,0.381406
1000000000,48,3.14159,0.38684
1000000000,49,3.14159,0.389098
1000000000,50,3.14159,0.398815
